Tên,Loại,Kích thước (KB),Ngày sửa cuối
$RECYCLE.BIN,Folder,-,2024-04-25 00:47:22
3uToolsV3,Folder,-,2024-11-24 01:04:42
OpenInventor,Folder,-,2025-05-31 08:12:00
PHOTO,Folder,-,2025-10-07 22:48:23
Program Files,Folder,-,2021-10-27 21:44:54
setup,Folder,-,2024-04-01 21:40:17
System Volume Information,Folder,-,2025-01-15 00:58:34
View 14 Full Hd Windows Background Images.html,File,31.30,2021-07-15 22:01:10
View 14 Full Hd Windows Background Images_files,Folder,-,2021-12-27 15:20:16
WindowsApps,Folder,-,2021-11-25 16:06:12
WORK,Folder,-,2025-10-21 23:17:09
WpSystem,Folder,-,2021-10-28 20:44:27
